id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
spa-l1-001,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-002,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-003,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-004,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-005,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-006,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-007,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-008,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-009,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-010,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-011,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-012,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-013,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-014,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-015,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-016,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-017,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-018,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-019,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-020,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-021,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-022,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-023,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-024,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-025,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-026,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-027,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-028,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-029,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-030,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-031,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-032,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-033,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-034,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-035,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-036,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-037,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-038,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-039,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-040,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-041,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-042,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-043,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
spa-l1-044,Space,1,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,Mercury,2,Its reddish appearance comes from iron oxide on surface
spa-l1-045,Space,1,Which planet is largest in our solar system?,Earth,Saturn,Jupiter,Neptune,Uranus,2,This gas giant has a giant red spot storm
spa-l1-046,Space,1,What is the closest star to Earth?,Moon,Sun,Mars,Venus,Polaris,1,This star provides light and heat to our planet
spa-l1-047,Space,1,How many planets are in our solar system?,7,8,9,10,12,1,"Pluto was reclassified, leaving this many planets"
spa-l1-048,Space,1,What is the Moon?,A planet,Earth's natural satellite,A star,A comet,An asteroid,1,This celestial body orbits Earth and affects tides
