id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-0001,Biology,1,What is DNA?,Deoxyribonucleic Acid - genetic material,A type of protein,A cell organelle,A type of sugar,A mineral,0,This is a Biology question at difficulty level 1
bio-l1-0002,Biology,1,What do plants need for photosynthesis?,Water only,"Sunlight, water, and carbon dioxide",Only carbon dioxide,Only sunlight,Soil nutrients,1,This is a Biology question at difficulty level 1
bio-l1-0003,Biology,1,What is the largest organ in the human body?,Heart,Skin,Liver,Brain,Lungs,1,This is a Biology question at difficulty level 1
bio-l1-0004,Biology,1,What are cells?,Basic units of life,Types of atoms,Minerals,Proteins,Vitamins,0,This is a Biology question at difficulty level 1
bio-l1-0005,Biology,1,What do herbivores eat?,Meat,Plants,Both plants and meat,Only fruits,Only seeds,1,This is a Biology question at difficulty level 1
bio-l1-0006,Biology,1,What is the function of red blood cells?,Digest food,Carry oxygen,Fight infection,Store energy,Build bones,1,This is a Biology question at difficulty level 1
bio-l1-0007,Biology,1,How many legs does an insect have?,4,6,8,10,12,1,This is a Biology question at difficulty level 1
bio-l1-0008,Biology,1,What is the process of a caterpillar becoming a butterfly called?,Evolution,Metamorphosis,Photosynthesis,Reproduction,Mitosis,1,This is a Biology question at difficulty level 1
bio-l1-0009,Biology,1,What gas do humans breathe out?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Helium,1,This is a Biology question at difficulty level 1
bio-l1-0010,Biology,1,What is the basic unit of heredity?,Cell,Gene,Tissue,Organ,Chromosome,1,This is a Biology question at difficulty level 1
bio-l2-0011,Biology,2,What is the process by which plants make food?,Respiration,Photosynthesis,Digestion,Fermentation,Transpiration,1,This is a Biology question at difficulty level 2
bio-l2-0012,Biology,2,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,Vacuole,1,This is a Biology question at difficulty level 2
bio-l2-0013,Biology,2,What type of blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Lymph vessel,Aorta only,1,This is a Biology question at difficulty level 2
bio-l2-0014,Biology,2,What is the scientific name for the human species?,Homo erectus,Homo sapiens,Homo habilis,Homo neanderthalensis,Primates sapiens,1,This is a Biology question at difficulty level 2
bio-l2-0015,Biology,2,Which organ produces insulin?,Liver,Pancreas,Stomach,Kidney,Gallbladder,1,This is a Biology question at difficulty level 2
bio-l2-0016,Biology,2,What is the pH of pure water?,5,7,9,0,14,1,This is a Biology question at difficulty level 2
bio-l2-0017,Biology,2,What are organisms that break down dead matter called?,Producers,Decomposers,Consumers,Predators,Parasites,1,This is a Biology question at difficulty level 2
bio-l2-0018,Biology,2,How many chambers does the human heart have?,2,4,3,5,6,1,This is a Biology question at difficulty level 2
bio-l2-0019,Biology,2,What is the green pigment in plants called?,Carotene,Chlorophyll,Melanin,Xanthophyll,Anthocyanin,1,This is a Biology question at difficulty level 2
bio-l2-0020,Biology,2,What is the study of plants called?,Zoology,Botany,Ecology,Mycology,Ornithology,1,This is a Biology question at difficulty level 2
bio-l3-0021,Biology,3,What is the difference between mitosis and meiosis?,No difference,"Mitosis produces identical cells, meiosis produces sex cells",Meiosis is faster,Mitosis only happens in plants,Meiosis produces 4 identical cells,1,This is a Biology question at difficulty level 3
bio-l3-0022,Biology,3,What is an ecosystem?,A single organism,A community of organisms and their environment,Only plants in an area,Only animals in an area,The weather in a region,1,This is a Biology question at difficulty level 3
