id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-001,Biology,1,What is the basic unit of life?,Organ,Cell,Tissue,Atom,Molecule,1,Consider Biology principles at level 1
bio-l1-002,Biology,1,Which organ pumps blood?,Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-003,Biology,1,What do plants need for photosynthesis?,Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-004,Biology,1,How many chromosomes do humans have?,23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-005,Biology,1,What is DNA?,A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-006,Biology,1,What is the basic unit of life? (variation 1),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-007,Biology,1,Which organ pumps blood? (variation 1),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-008,Biology,1,What do plants need for photosynthesis? (variation 1),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-009,Biology,1,How many chromosomes do humans have? (variation 1),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-010,Biology,1,What is DNA? (variation 1),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-011,Biology,1,What is the basic unit of life? (variation 2),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-012,Biology,1,Which organ pumps blood? (variation 2),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-013,Biology,1,What do plants need for photosynthesis? (variation 2),Only water,Only sunlight,Only CO2,Sunlight water and CO2,Only oxygen,3,Consider Biology principles at level 1
bio-l1-014,Biology,1,How many chromosomes do humans have? (variation 2),23,46,92,12,24,1,Consider Biology principles at level 1
bio-l1-015,Biology,1,What is DNA? (variation 2),A protein,A carbohydrate,Genetic material,An enzyme,A lipid,2,Consider Biology principles at level 1
bio-l1-016,Biology,1,What is the basic unit of life? (variation 3),Atom,Molecule,Cell,Tissue,Organ,2,Consider Biology principles at level 1
bio-l1-017,Biology,1,Which organ pumps blood? (variation 3),Liver,Heart,Kidney,Brain,Lungs,1,Consider Biology principles at level 1
bio-l1-018,Biology,1,What do plants need for photosynthesis? (variation 3),Only sunlight,Only oxygen,Sunlight water and CO2,Only water,Only CO2,2,Consider Biology principles at level 1
