id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-0001,Biology,1,What is DNA?,A theory,Genetic material,A law,A hypothesis,A principle,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0002,Biology,1,How is DNA best described?,As theory,Deoxyribonucleic acid storing hereditary information,As law,As rule,As axiom,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0003,Biology,1,DNA is characterized by what?,Size,Genetic material,Color,Shape,Weight,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0004,Biology,1,"In Biology, DNA refers to what?",Process A,Deoxyribonucleic acid storing hereditary information,Process B,Process C,Process D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0005,Biology,1,What best defines DNA?,Definition A,Genetic material,Definition B,Definition C,Definition D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0006,Biology,1,The primary function of DNA is what?,Function A,Deoxyribonucleic acid storing hereditary information,Function B,Function C,Function D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0007,Biology,1,DNA can be classified as what?,Type A,Genetic material,Type B,Type C,Type D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0008,Biology,1,Which statement about DNA is correct?,Statement A,Deoxyribonucleic acid storing hereditary information,Statement B,Statement C,Statement D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0009,Biology,1,What is the role of DNA?,Role A,Genetic material,Role B,Role C,Role D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0010,Biology,1,DNA is important because it does what?,Reason A,Deoxyribonucleic acid storing hereditary information,Reason B,Reason C,Reason D,1,DNA: deoxyribonucleic acid storing hereditary information
bio-l1-0011,Biology,1,What is RNA?,A theory,Genetic messenger,A law,A hypothesis,A principle,1,RNA: ribonucleic acid translating DNA to proteins
bio-l1-0012,Biology,1,How is RNA best described?,As theory,Ribonucleic acid translating dna to proteins,As law,As rule,As axiom,1,RNA: ribonucleic acid translating DNA to proteins
