id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-001,Biology,1,How many kidneys does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-002,Biology,1,How many eyes does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-003,Biology,1,How many feet does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-004,Biology,1,How many ears does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-005,Biology,1,How many hands does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-006,Biology,1,How many kidneys does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-007,Biology,1,How many ears does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-008,Biology,1,How many eyes does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-009,Biology,1,How many eyes does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-010,Biology,1,How many kidneys does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-011,Biology,1,How many ears does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-012,Biology,1,How many hands does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-013,Biology,1,How many ears does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-014,Biology,1,How many feet does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-015,Biology,1,How many lungs does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-016,Biology,1,How many kidneys does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-017,Biology,1,How many lungs does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-018,Biology,1,How many hands does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-019,Biology,1,How many lungs does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-020,Biology,1,How many eyes does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-021,Biology,1,How many kidneys does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
bio-l1-022,Biology,1,How many bones does an adult human typically have?,1,2,3,4,206,4,Consider human anatomy
bio-l1-023,Biology,1,How many feet does an adult human typically have?,1,2,3,4,206,1,Consider human anatomy
