id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-001,Biology,1,Question #1: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 1 about Biology at difficulty level 1
bio-l1-002,Biology,1,Question #2: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 2 about Biology at difficulty level 1
bio-l1-003,Biology,1,Question #3: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 3 about Biology at difficulty level 1
bio-l1-004,Biology,1,Question #4: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 4 about Biology at difficulty level 1
bio-l1-005,Biology,1,Question #5: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 5 about Biology at difficulty level 1
bio-l1-006,Biology,1,Question #6: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 6 about Biology at difficulty level 1
bio-l1-007,Biology,1,Question #7: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 7 about Biology at difficulty level 1
bio-l1-008,Biology,1,Question #8: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 8 about Biology at difficulty level 1
bio-l1-009,Biology,1,Question #9: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 9 about Biology at difficulty level 1
bio-l1-010,Biology,1,Question #10: What educational concepts in Biology are relevant at difficulty level 1?,Concept type A for Biology,Educational content about Biology at level 1 (correct answer),Concept type B for Biology,Concept type C for Biology,Concept type D for Biology,1,Educational question 10 about Biology at difficulty level 1
