id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-001,Biology,1,What is the basic unit of all living organisms?,Atom,Molecule,Cell,Tissue,Organ,2,Think about the smallest living structure that can perform all life functions
bio-l1-002,Biology,1,Which organ is responsible for pumping blood throughout the body?,Liver,Heart,Kidney,Lungs,Brain,1,"This muscular organ beats about 100,000 times per day"
bio-l1-003,Biology,1,What process do plants use to make food from sunlight?,Respiration,Photosynthesis,Digestion,Fermentation,Oxidation,1,This process requires chlorophyll and produces oxygen as a byproduct
bio-l1-004,Biology,1,How many bones does an adult human skeleton typically have?,186,206,226,246,266,1,Babies are born with more bones that fuse together as they grow
bio-l1-005,Biology,1,What is DNA?,A type of protein,Genetic material,An enzyme,A hormone,A vitamin,1,This double helix molecule contains the instructions for building and maintaining organisms
bio-l1-006,Biology,1,Which blood type is the universal donor?,A positive,B positive,AB positive,O negative,AB negative,3,"This blood type lacks A, B, and Rh antigens, making it safe for all recipients"
bio-l1-007,Biology,1,What is the largest organ in the human body?,Heart,Brain,Liver,Skin,Lungs,3,This organ covers your entire body and protects you from the environment
bio-l1-008,Biology,1,What do red blood cells transport?,Oxygen,Carbon dioxide,Nutrients,Hormones,Waste,0,"These cells contain hemoglobin, which binds to this gas in the lungs"
bio-l1-009,Biology,1,What is the green pigment in plants called?,Hemoglobin,Melanin,Chlorophyll,Carotene,Keratin,2,This pigment is essential for photosynthesis and gives plants their color
bio-l1-010,Biology,1,How many chambers does the human heart have?,Two,Three,Four,Five,Six,2,Think of two upper chambers (atria) and two lower chambers (ventricles)
bio-l1-011,Biology,1,What is the function of white blood cells?,Carry oxygen,Fight infections,Clot blood,Digest food,Store energy,1,These cells are the body's primary defense against pathogens
bio-l1-012,Biology,1,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,3,This vitamin is crucial for bone health and calcium absorption
bio-l1-013,Biology,1,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,Lysosome,1,"This organelle produces ATP, the cell's energy currency"
bio-l1-014,Biology,1,What percentage of the human body is water?,About 30%,About 45%,About 60%,About 75%,About 90%,2,"This percentage varies with age, but averages around this value for adults"
bio-l1-015,Biology,1,What is the largest artery in the human body?,Pulmonary artery,Carotid artery,Aorta,Femoral artery,Brachial artery,2,This artery carries oxygenated blood directly from the left ventricle
bio-l1-016,Biology,1,How many pairs of chromosomes do humans have?,20,21,22,23,24,3,"Each parent contributes one chromosome to each pair, totaling 46 chromosomes"
bio-l1-017,Biology,1,What is the colored part of the eye?,Pupil,Retina,Iris,Cornea,Lens,2,This structure controls the size of the pupil and determines eye color
bio-l1-018,Biology,1,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Helium,Hydrogen,2,Plants use this gas during photosynthesis to produce glucose
bio-l1-019,Biology,1,What is the smallest bone in the human body?,Stapes,Malleus,Incus,Phalanx,Vertebra,0,This tiny bone is located in the middle ear and is part of the hearing mechanism
bio-l1-020,Biology,1,Which organ produces insulin?,Liver,Pancreas,Kidney,Spleen,Thyroid,1,This gland regulates blood sugar by producing insulin and glucagon
bio-l2-001,Biology,2,What is homeostasis?,Cell division,Maintaining stable internal conditions,Protein synthesis,Energy production,DNA replication,1,"This process keeps body temperature, pH, and other factors within narrow ranges"
bio-l2-002,Biology,2,Which type of blood vessel carries blood away from the heart?,Veins,Arteries,Capillaries,Venules,Lymph vessels,1,"These vessels have thick, elastic walls to withstand high pressure"
bio-l2-003,Biology,2,What is the function of ribosomes?,DNA storage,Protein synthesis,Energy production,Waste removal,Lipid synthesis,1,These organelles translate mRNA into polypeptide chains
bio-l2-004,Biology,2,What is osmosis?,Movement of water across a membrane,Active transport of ions,Protein synthesis,Cell division,Energy production,0,This passive process moves water from high to low concentration
bio-l2-005,Biology,2,Which enzyme begins the digestion of starch?,Pepsin,Trypsin,Amylase,Lipase,Protease,2,This enzyme is found in saliva and begins breaking down carbohydrates
