id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-0001,Biology,1,What is DNA?,A theory,Genetic blueprint,A law,A principle,A rule,1,deoxyribonucleic acid stores genetic info
bio-l1-0002,Biology,1,How is DNA best described?,As a process,Deoxyribonucleic acid stores genetic info,As a theory,As a law,As a hypothesis,1,DNA: genetic blueprint
bio-l1-0003,Biology,1,"In Biology, what characterizes DNA?",Its size,Genetic blueprint,Its color,Its shape,Its weight,1,Learn about DNA
bio-l1-0004,Biology,1,What is Mitochondria?,A theory,Cell powerhouse,A law,A principle,A rule,1,produces ATP energy
bio-l1-0005,Biology,1,How is Mitochondria best described?,As a process,Produces atp energy,As a theory,As a law,As a hypothesis,1,Mitochondria: cell powerhouse
bio-l1-0006,Biology,1,"In Biology, what characterizes Mitochondria?",Its size,Cell powerhouse,Its color,Its shape,Its weight,1,Learn about Mitochondria
bio-l1-0007,Biology,1,What is Photosynthesis?,A theory,Plant food production,A law,A principle,A rule,1,converts sunlight to glucose
bio-l1-0008,Biology,1,How is Photosynthesis best described?,As a process,Converts sunlight to glucose,As a theory,As a law,As a hypothesis,1,Photosynthesis: plant food production
bio-l1-0009,Biology,1,"In Biology, what characterizes Photosynthesis?",Its size,Plant food production,Its color,Its shape,Its weight,1,Learn about Photosynthesis
bio-l1-0010,Biology,1,What is Cell membrane?,A theory,Cell boundary,A law,A principle,A rule,1,selective barrier controlling what enters/exits
bio-l1-0011,Biology,1,How is Cell membrane best described?,As a process,Selective barrier controlling what enters/exits,As a theory,As a law,As a hypothesis,1,Cell membrane: cell boundary
bio-l1-0012,Biology,1,"In Biology, what characterizes Cell membrane?",Its size,Cell boundary,Its color,Its shape,Its weight,1,Learn about Cell membrane
bio-l1-0013,Biology,1,What is Ribosomes?,A theory,Protein factories,A law,A principle,A rule,1,synthesize proteins from amino acids
bio-l1-0014,Biology,1,How is Ribosomes best described?,As a process,Synthesize proteins from amino acids,As a theory,As a law,As a hypothesis,1,Ribosomes: protein factories
