id,category,level,text,answer1,answer2,answer3,answer4,answer5,correctAnswerIndex,hint
bio-l1-0001,Biology,1,What is DNA?,Deoxyribonucleic Acid - genetic material,A type of protein,A cell organelle,A type of sugar,A mineral,0,This is a Biology question at difficulty level 1
bio-l1-0001-v1,Biology,1,Explain DNA?,Deoxyribonucleic Acid - genetic material,A type of protein,A cell organelle,A type of sugar,A mineral,0,This is a Biology question at difficulty level 1
bio-l1-0001-v2,Biology,1,What is DNA? (Advanced),Deoxyribonucleic Acid - genetic material,A type of protein,A cell organelle,A type of sugar,A mineral,0,This is a Biology question at difficulty level 1
bio-l1-0001-v3,Biology,1,What is DNA? (Advanced),Deoxyribonucleic Acid - genetic material,A type of protein,A cell organelle,A type of sugar,A mineral,0,This is a Biology question at difficulty level 1
bio-l1-0002,Biology,1,What do plants need for photosynthesis?,Water only,"Sunlight, water, and carbon dioxide",Only carbon dioxide,Only sunlight,Soil nutrients,1,This is a Biology question at difficulty level 1
bio-l1-0002-v1,Biology,1,What do plants need for photosynthesis?,Water only,"Sunlight, water, and carbon dioxide",Only carbon dioxide,Only sunlight,Soil nutrients,1,This is a Biology question at difficulty level 1
bio-l1-0002-v2,Biology,1,What do plants need for photosynthesis? (Advanced),Water only,"Sunlight, water, and carbon dioxide",Only carbon dioxide,Only sunlight,Soil nutrients,1,This is a Biology question at difficulty level 1
bio-l1-0002-v3,Biology,1,What do plants need for photosynthesis? (Advanced),Water only,"Sunlight, water, and carbon dioxide",Only carbon dioxide,Only sunlight,Soil nutrients,1,This is a Biology question at difficulty level 1
bio-l1-0003,Biology,1,What is the largest organ in the human body?,Heart,Skin,Liver,Brain,Lungs,1,This is a Biology question at difficulty level 1
bio-l1-0003-v1,Biology,1,Explain the largest organ in the human body?,Heart,Skin,Liver,Brain,Lungs,1,This is a Biology question at difficulty level 1
bio-l1-0003-v2,Biology,1,What is the largest organ in the human body? (Advanced),Heart,Skin,Liver,Brain,Lungs,1,This is a Biology question at difficulty level 1
bio-l1-0003-v3,Biology,1,What is the largest organ in the human body? (Advanced),Heart,Skin,Liver,Brain,Lungs,1,This is a Biology question at difficulty level 1
bio-l1-0004,Biology,1,What are cells?,Basic units of life,Types of atoms,Minerals,Proteins,Vitamins,0,This is a Biology question at difficulty level 1
bio-l1-0004-v1,Biology,1,Name cells?,Basic units of life,Types of atoms,Minerals,Proteins,Vitamins,0,This is a Biology question at difficulty level 1
bio-l1-0004-v2,Biology,1,What are cells? (Advanced),Basic units of life,Types of atoms,Minerals,Proteins,Vitamins,0,This is a Biology question at difficulty level 1
bio-l1-0004-v3,Biology,1,What are cells? (Advanced),Basic units of life,Types of atoms,Minerals,Proteins,Vitamins,0,This is a Biology question at difficulty level 1
bio-l1-0005,Biology,1,What do herbivores eat?,Meat,Plants,Both plants and meat,Only fruits,Only seeds,1,This is a Biology question at difficulty level 1
bio-l1-0005-v1,Biology,1,What do herbivores eat?,Meat,Plants,Both plants and meat,Only fruits,Only seeds,1,This is a Biology question at difficulty level 1
bio-l1-0005-v2,Biology,1,What do herbivores eat? (Advanced),Meat,Plants,Both plants and meat,Only fruits,Only seeds,1,This is a Biology question at difficulty level 1
bio-l1-0005-v3,Biology,1,What do herbivores eat? (Advanced),Meat,Plants,Both plants and meat,Only fruits,Only seeds,1,This is a Biology question at difficulty level 1
bio-l1-0006,Biology,1,What is the function of red blood cells?,Digest food,Carry oxygen,Fight infection,Store energy,Build bones,1,This is a Biology question at difficulty level 1
bio-l1-0006-v1,Biology,1,Define the function of red blood cells?,Digest food,Carry oxygen,Fight infection,Store energy,Build bones,1,This is a Biology question at difficulty level 1
bio-l1-0006-v2,Biology,1,What is the function of red blood cells? (Advanced),Digest food,Carry oxygen,Fight infection,Store energy,Build bones,1,This is a Biology question at difficulty level 1
bio-l1-0006-v3,Biology,1,What is the function of red blood cells? (Advanced),Digest food,Carry oxygen,Fight infection,Store energy,Build bones,1,This is a Biology question at difficulty level 1
bio-l1-0007,Biology,1,How many legs does an insect have?,4,6,8,10,12,1,This is a Biology question at difficulty level 1
bio-l1-0007-v1,Biology,1,How many legs does an insect have?,4,6,8,10,12,1,This is a Biology question at difficulty level 1
bio-l1-0007-v2,Biology,1,How many legs does an insect have? (Advanced),4,6,8,10,12,1,This is a Biology question at difficulty level 1
bio-l1-0007-v3,Biology,1,How many legs does an insect have? (Advanced),4,6,8,10,12,1,This is a Biology question at difficulty level 1
bio-l1-0008,Biology,1,What is the process of a caterpillar becoming a butterfly called?,Evolution,Metamorphosis,Photosynthesis,Reproduction,Mitosis,1,This is a Biology question at difficulty level 1
bio-l1-0008-v1,Biology,1,Explain the process of a caterpillar becoming a butterfly called?,Evolution,Metamorphosis,Photosynthesis,Reproduction,Mitosis,1,This is a Biology question at difficulty level 1
bio-l1-0008-v2,Biology,1,What is the process of a caterpillar becoming a butterfly called? (Advanced),Evolution,Metamorphosis,Photosynthesis,Reproduction,Mitosis,1,This is a Biology question at difficulty level 1
bio-l1-0008-v3,Biology,1,What is the process of a caterpillar becoming a butterfly called? (Advanced),Evolution,Metamorphosis,Photosynthesis,Reproduction,Mitosis,1,This is a Biology question at difficulty level 1
bio-l1-0009,Biology,1,What gas do humans breathe out?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Helium,1,This is a Biology question at difficulty level 1
bio-l1-0009-v1,Biology,1,What gas do humans breathe out?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Helium,1,This is a Biology question at difficulty level 1
bio-l1-0009-v2,Biology,1,What gas do humans breathe out? (Advanced),Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Helium,1,This is a Biology question at difficulty level 1
bio-l1-0009-v3,Biology,1,What gas do humans breathe out? (Advanced),Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Helium,1,This is a Biology question at difficulty level 1
bio-l1-0010,Biology,1,What is the basic unit of heredity?,Cell,Gene,Tissue,Organ,Chromosome,1,This is a Biology question at difficulty level 1
bio-l1-0010-v1,Biology,1,Describe the basic unit of heredity?,Cell,Gene,Tissue,Organ,Chromosome,1,This is a Biology question at difficulty level 1
bio-l1-0010-v2,Biology,1,What is the basic unit of heredity? (Advanced),Cell,Gene,Tissue,Organ,Chromosome,1,This is a Biology question at difficulty level 1
bio-l1-0010-v3,Biology,1,What is the basic unit of heredity? (Advanced),Cell,Gene,Tissue,Organ,Chromosome,1,This is a Biology question at difficulty level 1
bio-l2-0011,Biology,2,What is the process by which plants make food?,Respiration,Photosynthesis,Digestion,Fermentation,Transpiration,1,This is a Biology question at difficulty level 2
bio-l2-0011-v1,Biology,2,Describe the process by which plants make food?,Respiration,Photosynthesis,Digestion,Fermentation,Transpiration,1,This is a Biology question at difficulty level 2
bio-l2-0011-v2,Biology,2,What is the process by which plants make food? (Advanced),Respiration,Photosynthesis,Digestion,Fermentation,Transpiration,1,This is a Biology question at difficulty level 2
bio-l2-0011-v3,Biology,2,What is the process by which plants make food? (Advanced),Respiration,Photosynthesis,Digestion,Fermentation,Transpiration,1,This is a Biology question at difficulty level 2
bio-l2-0012,Biology,2,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,Vacuole,1,This is a Biology question at difficulty level 2
bio-l2-0012-v1,Biology,2,Explain the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,Vacuole,1,This is a Biology question at difficulty level 2
bio-l2-0012-v2,Biology,2,What is the powerhouse of the cell? (Advanced),Nucleus,Mitochondria,Ribosome,Chloroplast,Vacuole,1,This is a Biology question at difficulty level 2
bio-l2-0012-v3,Biology,2,What is the powerhouse of the cell? (Advanced),Nucleus,Mitochondria,Ribosome,Chloroplast,Vacuole,1,This is a Biology question at difficulty level 2
bio-l2-0013,Biology,2,What type of blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Lymph vessel,Aorta only,1,This is a Biology question at difficulty level 2
bio-l2-0013-v1,Biology,2,What type of blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Lymph vessel,Aorta only,1,This is a Biology question at difficulty level 2
bio-l2-0013-v2,Biology,2,What type of blood vessel carries blood away from the heart? (Advanced),Vein,Artery,Capillary,Lymph vessel,Aorta only,1,This is a Biology question at difficulty level 2
bio-l2-0013-v3,Biology,2,What type of blood vessel carries blood away from the heart? (Advanced),Vein,Artery,Capillary,Lymph vessel,Aorta only,1,This is a Biology question at difficulty level 2
bio-l2-0014,Biology,2,What is the scientific name for the human species?,Homo erectus,Homo sapiens,Homo habilis,Homo neanderthalensis,Primates sapiens,1,This is a Biology question at difficulty level 2
bio-l2-0014-v1,Biology,2,Describe the scientific name for the human species?,Homo erectus,Homo sapiens,Homo habilis,Homo neanderthalensis,Primates sapiens,1,This is a Biology question at difficulty level 2
bio-l2-0014-v2,Biology,2,What is the scientific name for the human species? (Advanced),Homo erectus,Homo sapiens,Homo habilis,Homo neanderthalensis,Primates sapiens,1,This is a Biology question at difficulty level 2
